"cruise","year","week","TEMPBOT","SALBOT","delta_rho","x_dist","y_dist","predicted"
"1",1990,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0073556531570384
"2",1990,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.0705428231366903
"3",1990,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.0839164497383205
"4",1990,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.0827367690747227
"5",1990,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.289355832193068
"1",1991,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.00738227052143265
"2",1991,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.0931689355507365
"3",1991,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.106333587450967
"4",1991,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.12667759498801
"5",1991,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.291475884581167
"1",1992,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.00768866469436415
"2",1992,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.123024844446537
"3",1992,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.133063813562495
"4",1992,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.195904726924498
"5",1992,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.300777747962021
"1",1993,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.00858048912951673
"2",1993,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.161655172431846
"3",1993,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.162336668682648
"4",1993,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.302835115596824
"5",1993,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.324564853053498
"1",1994,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0103548547279058
"2",1994,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.208991345356758
"3",1994,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.191339750377679
"4",1994,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.449537937584184
"5",1994,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.36765648175369
"1",1995,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0132242798574649
"2",1995,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.261504153288728
"3",1995,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.217222981412443
"4",1995,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.606262305800698
"5",1995,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.427793797247616
"1",1996,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0170937232541692
"2",1996,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.311499312829121
"3",1996,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.238077468996589
"4",1996,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.713840939142665
"5",1996,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.488867207555499
"1",1997,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0212870994098413
"2",1997,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.349425215698285
"3",1997,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.253406172580791
"4",1997,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.736468815072604
"5",1997,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.520662876657321
"1",1998,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0246824138927818
"2",1998,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.368685750954615
"3",1998,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.264110475720163
"4",1998,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.701891334147756
"5",1998,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.498952188503004
"1",1999,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0264660564267824
"2",1999,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.36925259703107
"3",1999,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.272229521550009
"4",1999,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.669164229949993
"5",1999,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.432061907768224
"1",2000,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0267450373039872
"2",2000,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.357086596749071
"3",2000,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.280489014568463
"4",2000,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.682086511349144
"5",2000,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.355094791815587
"1",2001,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0262626662622146
"2",2001,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.340564328099414
"3",2001,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.291566579543193
"4",2001,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.757059742062986
"5",2001,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.298666358341955
"1",2002,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0256663220335198
"2",2002,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.327176175721755
"3",2002,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.307024914952837
"4",2002,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.879178984681354
"5",2002,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.274573481280386
"1",2003,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0251067301384744
"2",2003,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.322097599151203
"3",2003,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.325987203187255
"4",2003,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.989873745346007
"5",2003,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.282167459578947
"1",2004,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0243374907408816
"2",2004,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.328034325505841
"3",2004,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.344003198583235
"4",2004,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,1.00703968358567
"5",2004,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.313866977861571
"1",2005,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0231310061365249
"2",2005,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.345067444863629
"3",2005,24.6125116713352,13.5679015778207,31.7335024656396,2.24820931843915,11.2518066886195,100.675583254995,0.353413736870982
"4",2005,33.7640977443609,17.7319145453806,31.682533224079,1.97898355745547,11.476586783457,100.903253092932,0.902403962285642
"5",2005,42.8224101479915,16.4514246046089,31.9570328467336,0.494692478776966,11.054794515363,105.673475158566,0.353309616092169
"1",2006,4.2989417989418,5.259367994291,32.269686844828,0.688359477002122,10.7850457031204,108.066032367921,0.0216850257735496
"2",2006,16.022,7.589892063367,32.00295473896,1.43161324129161,11.4896234417666,101.349643119874,0.369784336875803
